"iso_code","glottocode","wals_code","Name","genus","SVO_order","Glottocode","Name_SIL","Language.name","Longitude","Latitude","Area_GLOT","Continent_SIL","Country","Status_GLOT","Population_SIL","Family_SIL_Lv1","Family_SIL_Lv2","Family_SIL_Lv3","Family_GLOT_Lv1","Family_GLOT_Lv2","Family_GLOT_Lv3"
"fuh","west2454","fli","Ful (Liptako)","Northern Atlantic",NA,"west2454","Northeastern Burkina Faso Fulfulde","Western Niger Fulfulde",-0.52004,14.2471,"Africa","Africa","Benin (BJ) / Burkina Faso (BF) / Mali (ML) / Niger (NE) / Nigeria (NG)","not endangered",750000,"Niger-Congo","Atlantic-Congo","Northern","Atlantic-Congo","North-Central Atlantic","North Atlantic"
"fun","fuln1247","ful","Fulni繫","Yat礙",NA,"fuln1247","Iate","Fulni?",-37.1402,-9.02591,"South America","Americas","Brazil (BR)","shifting",2930,"Macro-Ge","Fulnio",NA,NA,NA,NA
"fut","futu1245","fut","Futuna-Aniwa","Oceanic","2 SVO","futu1245","Futuna-Aniwa","Futuna-Aniwa",170.215,-19.5303,"Papunesia","Pacific","Vanuatu (VU)","not endangered",1500,"Austronesian","Malayo-Polynesian","Eastern Malayo-Polynesian","Austronesian","Malayo-Polynesian","Central-Eastern Malayo-Polynesian"
"fuu","furu1242","bgr","Bagiro","Bongo-Bagirmi","2 SVO","furu1242","Furu","Furu",20.6448,4.485,"Africa","Africa","Central African Republic (CF) / Congo, The Democratic Republic of the (CD)","not endangered",12000,"Nilo-Saharan","Central Sudanic","Bongo-Bagirmi","Central Sudanic","Sara-Bongo-Bagirmi","SBB Occidental"
"fuv","nige1253","fni","Fula (Nigerian)","Northern Atlantic",NA,"nige1253","Nigerian Fulfulde","Hausa States Fulfulde",11.1188,10.9972,"Africa","Africa","Cameroon (CM) / Chad (TD) / Nigeria (NG)","not endangered",1710000,"Niger-Congo","Atlantic-Congo","Northern","Atlantic-Congo","North-Central Atlantic","North Atlantic"
"fvr","furr1244","fur","Fur","Fur","1 SOV","furr1244","Fur","Fur",23.6401,12.0455,"Africa","Africa","Central African Republic (CF) / Chad (TD) / Sudan (SD)","not endangered",5e+05,"Nilo-Saharan","Fur",NA,"Furan",NA,NA
"fwa","fwai1237","poa","Po-Ai","Oceanic",NA,"fwai1237","Fwai","Fw?i",164.901,-20.6873,"Papunesia","Pacific","New Caledonia (NC)","threatened",1130,"Austronesian","Malayo-Polynesian","Eastern Malayo-Polynesian","Austronesian","Malayo-Polynesian","Central-Eastern Malayo-Polynesian"
"gaa","gaaa1244","ga","G瓊","Kwa","2 SVO","gaaa1244","Ga","Ga",-0.18598,5.65488,"Africa","Africa","Ghana (GH)","not endangered",6e+05,"Niger-Congo","Atlantic-Congo","Kwa","Atlantic-Congo","Volta-Congo","Kwa Volta-Congo"
"gae","guar1293","wrk","Warekena","Northern Arawakan","2 SVO","guar1293","Guarequena","Baniva de Maroa",-66.9225,1.80835,"South America","Americas","Brazil (BR) / Colombia (CO) / Venezuela, Bolivarian Republic of (VE)","shifting",340,"Arawakan","Maipuran","Inland","Arawakan","Northern Maipuran","Alto Orinoco"
"gag","gaga1249","gag","Gagauz","Turkic",NA,"gaga1249","Gagauz","Gagauz",28.0277,44.5988,"Eurasia","Europe","Bulgaria (BG) / Moldova, Republic of (MD) / Romania (RO) / Ukraine (UA)","threatened",138000,"Altaic","Turkic","Turkish","Turkic","Common Turkic","Oghuz"
"gah","alek1238","gah","Gahuku","Eastern Highlands","1 SOV","alek1238","Alekano","Alekano",145.387,-6.03901,"Papunesia","Pacific","Papua New Guinea (PG)","threatened",25000,"Trans-New Guinea","Kainantu-Goroka","Gahuku-Benabena","Nuclear Trans New Guinea","Kainantu-Goroka","Goroka"
"gaj","gads1258","gds","Gadsup","Eastern Highlands","1 SOV","gads1258","Gadsup","Gadsup",145.997,-6.31631,"Papunesia","Pacific","Papua New Guinea (PG)","not endangered",22100,"Trans-New Guinea","Kainantu-Goroka","Gadsup-Auyana-Awa","Nuclear Trans New Guinea","Kainantu-Goroka","Kainantu"
