Glottocode,ISO,Name_SIL,Language name,Longitude,Latitude,Area_GLOT,Continent_SIL,Country,Status_GLOT,Population_SIL,Family_SIL_Lv1,Family_SIL_Lv2,Family_SIL_Lv3,Family_GLOT_Lv1,Family_GLOT_Lv2,Family_GLOT_Lv3
ware1252,wre,NA,Ware,NA,NA,Africa,NA,"Tanzania, United Republic of (TZ)",NA,NA,NA,NA,NA,Unattested,Atlantic-Congo (Unattested),NA
ware1253,wsa,Warembori,Warembori,137.566,-1.65941,Papunesia,Asia,Indonesia (ID),shifting,600,Lower Mamberamo,NA,NA,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
ware1254,wai,Wares,Wares,139.337,-2.47357,Papunesia,Asia,Indonesia (ID),shifting,200,Tor-Kwerba,Orya-Tor,NA,Unattested,Tor-Orya (Unattested),NA
ware1255,unknow,NA,Warekena Velha,-67.3173,1.66818,South America,NA,Brazil (BR),NA,NA,NA,NA,NA,Arawakan,Northern Maipuran,Inland Northern Maipuran
wari1262,wri,Wariyangga,Wariyangga,116.927,-24.353,Australia,Pacific,Australia (AU),extinct,0,Australian,Pama-Nyungan,Inland Ngayarda,Pama-Nyungan,South-West Pama-Nyungan,Pilbara
wari1264,wbe,Waritai,Waritai,138.456,-3.23021,Papunesia,Asia,Indonesia (ID),shifting,150,Lakes Plain,Tariku,NA,Lakes Plain,Tariku,East Tariku
wari1266,wrs,Waris,Waris,140.931,-3.139,Papunesia,Pacific,Indonesia (ID) / Papua New Guinea (PG),shifting,2500,Border,Waris,NA,Border,Warisic,Nuclear Warisic
wari1268,pav,Pakaasnovos,Wari',-64.5615,-10.6995,South America,Americas,Brazil (BR),shifting,1930,Chapacura-Wanham,Madeira,NA,Chapacuran,Moreic-Waric,Waric
warj1242,aml,War-Jaintia,War-Jaintia,91.6266,25.1154,Eurasia,Asia,Bangladesh (BD) / India (IN),not endangered,16000,Austro-Asiatic,Mon-Khmer,Khasian,Austroasiatic,Khasi-Palaung,Khasian
warj1253,wji,Warji,Warji,9.56925,11.1718,Africa,Africa,Nigeria (NG),threatened,77700,Afro-Asiatic,Chadic,B,Afro-Asiatic,Chadic,West Chadic
wark1247,bgv,Warkay-Bipim,Warkay-Bipim,138.638,-5.7716,Papunesia,Asia,Indonesia (ID),shifting,300,Trans-New Guinea,Marind,NA,Anim,Marind-Boazi-Yaqai,Yaqayic
warl1254,wbp,Warlpiri,Warlpiri,131.05,-20.1008,Australia,Pacific,Australia (AU),shifting,2670,Australian,Pama-Nyungan,Ngarga,Pama-Nyungan,Desert Nyungic,Ngumpin-Yapa
warl1255,wrl,Warlmanpa,Warlmanpa,133.862,-18.949,Australia,Pacific,Australia (AU),moribund,50,Australian,Pama-Nyungan,Ngarga,Pama-Nyungan,Desert Nyungic,Ngumpin-Yapa
warl1256,wrb,Warluwara,Warluwara,138.738,-22.2909,Australia,Pacific,Australia (AU),nearly extinct,0,Australian,Pama-Nyungan,Warluwara-Thawa,Pama-Nyungan,Ngarna,Southern Ngarna
warn1244,wrn,Warnang,Warnang,31.1574,10.594,Africa,Africa,Sudan (SD),shifting,1100,Niger-Congo,Kordofanian,Eastern,Heibanic,Eastern Heibanic,NA
waro1242,wrp,Waropen,Waropen,136.633,-2.31142,Papunesia,Asia,Indonesia (ID),shifting,6000,Austronesian,Malayo-Polynesian,Eastern Malayo-Polynesian,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
warr1255,wgy,Warrgamay,Warrgamay,146.179,-18.5468,Australia,Pacific,Australia (AU),nearly extinct,3,Australian,Pama-Nyungan,NA,Pama-Nyungan,NA,NA
warr1257,unknow,NA,Warrnambool,141.54,-38.1556,Australia,NA,Australia (AU),extinct,NA,NA,NA,NA,Pama-Nyungan,Southeastern Pama-Nyungan,Victorian Pama-Nyungan
warr1258,wwr,Warrwa,Warrwa,123.971,-17.0965,Australia,Pacific,Australia (AU),nearly extinct,0,Australian,Nyulnyulan,NA,Nyulnyulan,Eastern Nyulnyulan,Nyikinic
waru1264,wrg,Warungu,Warrongo,144.37,-18.2496,Australia,Pacific,Australia (AU),extinct,0,Australian,Pama-Nyungan,NA,Pama-Nyungan,Greater Maric,Guwa-Maric
waru1265,wrm,Warumungu,Warumungu,134.375,-20.6479,Australia,Pacific,Australia (AU),moribund,520,Australian,Pama-Nyungan,NA,Pama-Nyungan,Desert Nyungic,NA
waru1266,wru,Waru,Waru,122.058,-3.412,Papunesia,Asia,Indonesia (ID),shifting,350,Austronesian,Malayo-Polynesian,Eastern,Austronesian,Malayo-Polynesian,Celebic
waru1267,wrv,Waruna,Waruna,142.47,-8.23565,Papunesia,Pacific,Papua New Guinea (PG),not endangered,600,Trans-New Guinea,Gogodala-Suki,NA,Suki-Gogodala,Gogodalic,Ari-Waruna
wasa1244,wss,Wasa,Wasa,-2.16028,5.74109,Africa,Africa,Ghana (GH),not endangered,309000,Niger-Congo,Atlantic-Congo,Kwa,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
wasc1239,wac,Wasco-Wishram,Wasco-Wishram,-121.509,45.0278,North America,Americas,United States (US),extinct,69,Penutian,Chinookan,NA,Chinookan,Upper Chinookan,NA
wase1252,gsp,Wasembo,Wasembo,145.969,-6.01318,Papunesia,Pacific,Papua New Guinea (PG),not endangered,590,Trans-New Guinea,Madang,Pihom,Nuclear Trans New Guinea,Madang,Rai Coast
wash1253,was,Washo,Washo,-119.64,38.8184,North America,Americas,United States (US),moribund,10,Hokan,Washo,NA,NA,NA,NA
wask1241,wsk,Waskia,Waskia,145.979,-4.57978,Papunesia,Pacific,Papua New Guinea (PG),not endangered,20000,Trans-New Guinea,Madang,Kowan,Nuclear Trans New Guinea,Madang,Unclassified Madang
wasu1238,wsu,Wasu,Wasu,-36.8333,-9.74999,South America,Americas,Brazil (BR),extinct,1447,Unclassified,NA,NA,Unattested,NA,NA
wata1251,wtk,Watakataui,Watakataui,143.005,-4.58965,Papunesia,Pacific,Papua New Guinea (PG),shifting,350,Sepik,Sepik Hill,NA,Sepik,Sepik Hill,Central Sepik Hill
wata1253,wax,Marangis,Watam,144.583,-4.02591,Papunesia,Pacific,Papua New Guinea (PG),shifting,590,Ramu-Lower Sepik,Ramu,Watam,Lower Sepik-Ramu,Ramu,Lower Ramu
wath1238,wth,NA,Wathawurrung,144.101,-37.6878,Australia,NA,Australia (AU),extinct,NA,NA,NA,NA,Pama-Nyungan,Southeastern Pama-Nyungan,Victorian Pama-Nyungan
watu1247,wah,Watubela,Watubela,131.641,-4.47294,Papunesia,Asia,Indonesia (ID),not endangered,4000,Austronesian,Malayo-Polynesian,Central Malayo-Polynesian,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
waur1244,wau,Waura,Waur?,-53.6971,-13.296,South America,Americas,Brazil (BR),shifting,330,Arawakan,Maipuran,NA,Arawakan,Central Maipuran,Xinguan Arawak
wauy1237,wuy,Wauyai,Wauyai,130.597,-0.2828,Papunesia,Asia,Indonesia (ID),shifting,300,Austronesian,Malayo-Polynesian,Eastern Malayo-Polynesian,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
wavu1234,unknow,NA,Wawu-II,NA,NA,Africa,NA,Togo (TG),NA,NA,NA,NA,NA,Unclassifiable,NA,NA
wawa1246,www,Wawa,Wawa,11.7802,6.68974,Africa,Africa,Cameroon (CM),shifting,3000,Niger-Congo,Atlantic-Congo,Benue-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo
wawo1239,wow,Wawonii,Wawonii,123.1,-4.13587,Papunesia,Asia,Indonesia (ID),not endangered,22000,Austronesian,Malayo-Polynesian,Eastern,Austronesian,Malayo-Polynesian,Celebic
waxi1236,wxa,Waxianghua,Waxianghua,110.362,28.644,Eurasia,Asia,China (CN),threatened,300000,Unclassified,NA,NA,Sino-Tibetan,Sinitic,NA
waya1264,ctt,Wayanad Chetti,Wayanad Chetti,76.3704,11.6702,Eurasia,Asia,India (IN),not endangered,5000,Dravidian,Southern,Unclassified,Dravidian,South Dravidian,South Dravidian I
waya1269,way,Wayana,Wayana,-54.4429,2.77537,South America,Americas,Brazil (BR) / French Guiana (GF) / Suriname (SR),shifting,400,Carib,Northern,Wayana-Trio,Cariban,Guianan,Wayanaic
waya1270,oym,Wayampi,Wayampi,-52.6887,1.73817,South America,Americas,Brazil (BR) / French Guiana (GF),shifting,650,Tupi,Tupi-Guarani,NA,Tupian,Maweti-Guarani,Aweti-Guarani
