"glottocode","society","family","macroarea","continent","vitality","Pop_area","Pop_indiv","EA005","EA015","EA015_2","EA033","EA043","EA202","per_wetqu","n_warm_month","elevSD","lang_rich","phylo_rich","id","Long","Lat"
"huas1242","Huastec","maya1287","North America","Americas",0.6,0.00435900940551504,0.0000595238095238095,7,NA,NA,NA,"non-unilineal",0.000499662668636151,0.161695906432749,1,0.134285366496695,0.0212290502793296,0.0655737704918033,"722",-99,22
"huau1238","Mazateco","otom1299","North America","Americas",0.8,0.0085685683005459,0.0000978571428571429,8,"agamy","no",NA,"non-unilineal",0.000687162731917422,0.573099415204678,1,0.085671494890615,0.214525139664804,0.0983606557377049,"836",-97,18
"huic1243","Huichol","utoa1244","North America","Americas",0.8,0.000219269342807988,0.0000238095238095238,5,"endogamy","no",0,"non-unilineal",NA,0.207894736842105,0.583333333333333,0.196239106133426,0.0122905027932961,0.0327868852459016,"721",-104,23
"hund1239","Hunde","atla1278","Africa","Africa",1,0.105939295499542,0.000238095238095238,5,"exogamy","yes",2,"unilineal",NA,0.194152046783626,1,0.344078083662802,0.0614525139664804,0.0327868852459016,"1094",28,-2
"hung1274","Magyar","ural1272","Eurasia","Europe",0.4,0.0946752556808082,0.0113690476190476,7,"endogamy","no",3,"non-unilineal",0.117499702156149,0.108479532163743,0.416666666666667,0.0792187184826156,0.0167597765363128,0.0327868852459016,"297",20,47
"hupa1239","Hupa","atha1245","North America","Americas",0.2,0.0000139232414377086,0.00000000952380952380952,0,"exogamy","no",0,"non-unilineal",0.00000766250258609462,0.0798245614035088,0.166666666666667,0.119757651455615,0.0569832402234637,0.245901639344262,"410",-123,41
"hwan1240","Hwana","afro1255","Africa","Africa",1,0.0455479992260443,0.0000380952380952381,7,"endogamy","yes",0,"unilineal",0.0000559125188704751,0.268713450292398,1,0.0222318096288328,0.232402234636872,0.0819672131147541,"912",13,10
"iatm1242","Iatmul","nduu1242","Papunesia","Pacific",0.6,0.0157671554967902,0.000010047619047619,6,"endogamy","yes",0,"unilineal",NA,0.530701754385965,0.208333333333333,0.517005231500873,1,1,"993",143,-4
"iban1264","Iban","aust1307","Papunesia","Asia",1,0.487658835717782,0.000783333333333333,6,"agamy","no",0,"non-unilineal",0.000143412548401735,0.65233918128655,1,0.164503373546714,0.15195530726257,0.0327868852459016,"1108",112,2
"ibib1240","Ibibio","atla1278","Africa","Africa",1,0.185933347004499,0,6,"endogamy","yes",1,"unilineal",0.0124996667186375,0.555847953216374,1,0.0483497274583347,0.166480446927374,0.0327868852459016,"1030",8,5
"icel1247","Icelanders","indo1319","Eurasia","Europe",1,0.00100661272556406,0.000273809523809524,1,"agamy","no",2,"non-unilineal",0.000624662710823665,0.187426900584795,0,0.167909225555193,0.00335195530726257,0.0327868852459016,"124",-20,64
"idak1243","Tiriki","atla1278","Africa","Africa",1,0.134176765283295,0.000364285714285714,7,NA,NA,1,"unilineal",0.000499662668636151,0.191520467836257,1,0.332952932624413,0.0770949720670391,0.0491803278688525,"1095",35,0
"idom1241","Idoma","atla1278","Africa","Africa",1,0.185933347004499,0.000714285714285714,7,"agamy","no",1,"unilineal",0.00249966334363638,0.555847953216374,1,0.0483497274583347,0.166480446927374,0.0327868852459016,"1030",8,7
"ifee1241","Ife","atla1278","Africa","Africa",1,0.185933347004499,0.000121428571428571,9,"endogamy","yes",3,"unilineal",0.00212466321707384,0.555847953216374,1,0.0483497274583347,0.166480446927374,0.0327868852459016,"1030",5,7
"igal1242","Igala","atla1278","Africa","Africa",1,0.185933347004499,0.000952380952380952,7,NA,NA,3,"unilineal",0.00249966334363638,0.555847953216374,1,0.0483497274583347,0.166480446927374,0.0327868852459016,"1030",7,7
"igut1238","Anaguta","atla1278","Africa","Africa",1,0.196308086814377,0.00000728571428571429,7,"endogamy","yes",0,"unilineal",0.0000712875240595394,0.374853801169591,1,0.0604870329858802,0.145251396648045,0.0983606557377049,"911",9,10
"ilaa1245","Oyo Yoruba","atla1278","Africa","Africa",NA,0.185933347004499,NA,8,"endogamy","yes",3,"non-unilineal",0.0687496857030189,0.555847953216374,1,0.0483497274583347,0.166480446927374,0.0327868852459016,"1030",4,8
"ilaa1246","Ila","atla1278","Africa","Africa",1,0.0131292041888767,0.0000847619047619048,6,"agamy","no",1,"non-unilineal",0.000274662592698625,0.255263157894737,1,0.0342681336608319,0.0212290502793296,0.0163934426229508,"741",27,-16
"imer1248","Georgians","kart1248","Eurasia","Asia",NA,0.0704177705138275,NA,7,NA,NA,2,NA,0.0199996692498884,0.0821637426900585,0.333333333333333,0.778213087425307,0.0625698324022346,0.0983606557377049,"386",45,42
"indu1241","Kohistani","indo1319","Eurasia","Asia",0.8,0.0717307632988349,0.000261904761904762,4,"endogamy","yes",1,"unilineal",0.000187162563167365,0.0853801169590643,0,0.53165784771589,0.0558659217877095,0.0491803278688525,"484",73,35
"ingr1248","Ingrians","ural1272","Eurasia","Europe",0.4,0.000228767396023681,0.000000428571428571429,7,"agamy","no",4,"non-unilineal",0.0003263751101516,0.13625730994152,0.0833333333333333,0.0220322362496626,0.00670391061452514,0.0163934426229508,"158",29,59
"ioul1238","Aulliminden","afro1255","Africa","Africa",NA,0.0757022159500898,NA,3,"agamy","no",NA,NA,0.0000871625294173537,0.278070175438596,1,0.0824858613970431,0.0983240223463687,0.0327868852459016,"1029",2,8
"iowa1246","Iowa","siou1252","North America","Americas",NA,0.000119711653577596,NA,5,NA,NA,1,"unilineal",NA,0.177777777777778,0.416666666666667,0.0214311957685711,0.00223463687150838,0.0163934426229508,"413",-95,41
"iraq1241","Iraqw","afro1255","Africa","Africa",1,0.0425474791850164,0.00055,5,NA,NA,1,"non-unilineal",0.00124966292176124,0.262280701754386,1,0.132191600913947,0.0681564245810056,0.0655737704918033,"975",35,-4
"iris1253","Irish","indo1319","Eurasia","Europe",0.6,1,0.00030952380952381,5,"agamy","no",2,"non-unilineal",0.0370371750000466,0.127485380116959,0.333333333333333,0.0404545811039478,0.0256983240223464,0.0655737704918033,"295",-9,53
"isek1239","Itsekiri","atla1278","Africa","Africa",1,0.185933347004499,0.000607142857142857,2,"endogamy","yes",1,"non-unilineal",0.000412162639104891,0.555847953216374,1,0.0483497274583347,0.166480446927374,0.0327868852459016,"1030",5,6
"isla1276","Comox","sali1255","North America","Americas",NA,0.0000308750049864779,NA,0,"exogamy","no",0,"non-unilineal",NA,0.1,0,0.0895595856543483,0.0223463687150838,0.0819672131147541,"243",-124.97,49.72
"isla1278","Callinago","araw1281","North America","Americas",0,0.00949148237202029,NA,4,"endogamy","yes",0,"unilineal",NA,0.484795321637427,1,0.208378494467402,0.0324022346368715,0.0819672131147541,"1079",-61.27,15.41
